1	1	1	38	257	52	//Java语言子集语法、语义分析器测试用例
3	1	3	3	260	50	sum
3	4	3	4	258	51	 
3	5	3	5	272	110	=
3	6	3	6	258	51	 
3	7	3	8	263	53	10
3	9	3	9	290	108	;
4	1	4	4	260	50	temp
4	5	4	5	258	51	 
4	6	4	6	272	110	=
4	7	4	7	258	51	 
4	8	4	9	284	56	-6
4	10	4	10	290	108	;
5	1	5	5	259	49	while
5	6	5	6	258	51	 
5	7	5	7	285	104	(
5	8	5	11	260	50	temp
5	12	5	12	258	51	 
5	13	5	13	280	120	<
5	14	5	14	258	51	 
5	15	5	17	260	50	sum
5	18	5	18	285	105	)
6	1	6	1	258	51	 
6	2	6	2	258	51	 
6	3	6	3	258	51	 
6	4	6	4	258	51	 
6	5	6	8	260	50	temp
6	9	6	9	258	51	 
6	10	6	10	272	110	=
6	11	6	11	258	51	 
6	12	6	15	260	50	temp
6	16	6	16	258	51	 
6	17	6	17	282	111	+
6	18	6	18	258	51	 
6	19	6	19	263	53	3
6	20	6	20	290	108	;
7	1	7	5	259	49	while
7	6	7	6	258	51	 
7	7	7	7	285	104	(
7	8	7	10	263	53	200
7	11	7	11	258	51	 
7	12	7	12	280	116	>
7	13	7	13	258	51	 
7	14	7	16	260	50	sum
7	17	7	17	285	105	)
8	1	8	1	258	51	 
8	2	8	2	258	51	 
8	3	8	3	258	51	 
8	4	8	4	258	51	 
8	5	8	7	260	50	sum
8	8	8	8	258	51	 
8	9	8	9	272	110	=
8	10	8	10	258	51	 
8	11	8	13	260	50	sum
8	14	8	14	258	51	 
8	15	8	15	282	111	+
8	16	8	16	258	51	 
8	17	8	20	260	50	temp
8	21	8	21	258	51	 
8	22	8	22	283	113	*
8	23	8	23	258	51	 
8	24	8	24	263	53	3
8	25	8	25	258	51	 
8	26	8	26	282	112	-
8	27	8	27	258	51	 
8	28	8	29	284	56	-7
8	30	8	30	290	108	;
10	1	10	6	260	50	test$1
10	7	10	7	258	51	 
10	8	10	8	272	110	=
10	9	10	9	258	51	 
10	10	10	12	260	50	sum
10	13	10	13	258	51	 
10	14	10	14	283	114	/
10	15	10	15	258	51	 
10	16	10	16	263	53	5
10	17	10	17	258	51	 
10	18	10	18	282	111	+
10	19	10	19	258	51	 
10	20	10	20	263	53	5
10	21	10	21	258	51	 
10	22	10	22	283	113	*
10	23	10	23	258	51	 
10	24	10	27	260	50	temp
10	28	10	28	258	51	 
10	29	10	29	282	112	-
10	30	10	30	258	51	 
10	31	10	31	263	53	8
10	32	10	32	258	51	 
10	33	10	33	282	111	+
10	34	10	34	258	51	 
10	35	10	35	263	53	6
10	36	10	36	290	108	;
